race_name,category,climb_name,climb_url,length,steepness,top,km_before_finnish
ronde-van-vlaanderen,44.481 km/h,Oude Kwaremont,location/oude-kwaremont,2.6,3.5,102.0,17.0
ronde-van-vlaanderen,44.481 km/h,Oude Kwaremont,location/oude-kwaremont,2.6,3.5,102.0,54.0
ronde-van-vlaanderen,44.481 km/h,Oude Kruisberg/Hotond,location/kruisberg-hotond,2.5,4.2,158.0,26.0
ronde-van-vlaanderen,44.481 km/h,Marlboroughstraat,location/marlboroughstraat,1.8,3.1,99.0,95.0
ronde-van-vlaanderen,44.481 km/h,Steenbeekdries,location/steenbeekdries,1.1,2.5,59.0,39.0
ronde-van-vlaanderen,44.481 km/h,Berg Ten Houte,location/berg-ten-houte,1.1,5.7,112.0,74.0
ronde-van-vlaanderen,44.481 km/h,Kapelleberg,location/kapelleberg,0.9,6.3,90.0,115.0
ronde-van-vlaanderen,44.481 km/h,Berendries,location/berendries,0.9,6.4,90.0,91.0
ronde-van-vlaanderen,44.481 km/h,Valkenberg,location/valkenberg,0.6,6.9,89.0,86.0
ronde-van-vlaanderen,44.481 km/h,Koppenberg,location/koppenberg,0.6,9.7,69.0,45.0
ronde-van-vlaanderen,44.481 km/h,Wolvenberg,location/wolvenberg,0.6,6.5,68.0,112.0
ronde-van-vlaanderen,44.481 km/h,Taaienberg,location/taaienberg,0.5,8.0,77.0,37.0
ronde-van-vlaanderen,44.481 km/h,Paterberg,location/paterberg,0.4,9.5,66.0,51.0
ronde-van-vlaanderen,44.481 km/h,Molenberg,location/molenberg,0.4,7.1,55.0,99.0
ronde-van-vlaanderen,44.481 km/h,Paterberg,location/paterberg,0.4,9.7,66.0,13.0
itzulia-basque-country,38.063 km/h,Usategieta Gaina,location/alto-de-usategieta,10.8,3.5,696.0,131.0
itzulia-basque-country,38.063 km/h,Gorla,location/alto-de-elosua,9.6,5.6,678.0,93.0
itzulia-basque-country,38.063 km/h,Otsondo,location/Col-de-otxondo,7.8,6.0,571.0,182.0
itzulia-basque-country,38.063 km/h,Zuarrarte,location/alto-de-zuarrarrate,6.8,3.4,794.0,105.0
itzulia-basque-country,38.063 km/h,Lizarrusti,location/alto-de-lizarrusti,6.3,5.2,630.0,18.0
itzulia-basque-country,38.063 km/h,Opakua,location/alto-de-opakua,6.2,6.2,1019.0,117.0
itzulia-basque-country,38.063 km/h,Urkiola,location/puerto-de-urkiola,5.6,9.1,707.0,88.0
itzulia-basque-country,38.063 km/h,Azurki,location/azurki,5.1,7.4,669.0,113.0
itzulia-basque-country,38.063 km/h,Krabelin,location/krabelin,5.0,9.5,576.0,68.0
itzulia-basque-country,38.063 km/h,Urkaregi,location/urkaregi,5.0,4.6,341.0,13.0
itzulia-basque-country,38.063 km/h,Uitzi,location/alto-de-uitzi,4.4,7.3,799.0,121.0
itzulia-basque-country,38.063 km/h,Izua,location/alto-de-izua,4.1,9.0,540.0,28.0
