climb_name,climb_url,length,steepness,top,km_before_finnish,race_name
Elkorrieta,location/elkorrieta,2.6,6.3,186,124,itzulia-basque-country
Untzilla,location/alto-de-untzella,2.4,8.1,477,25,itzulia-basque-country
Olaberria,location/olaberria-irun,1.7,5.0,120,6,itzulia-basque-country
Olaberria,location/alto-de-olaberria,1.7,7.7,301,37,itzulia-basque-country
Camerig,location/camerig,3.9,4.3,282,144,amstel-gold-race
Schweibergerweg,location/schilbergerweg,2.5,4.6,222,152,amstel-gold-race
Eperheide,location/epenheide,2.1,4.7,220,118,amstel-gold-race
Drielandenpunt,location/drielandenpunt,2.1,5.6,305,134,amstel-gold-race
Eyserweg,location/eyserweg,1.7,5.0,193,102,amstel-gold-race
Sibbergrubbe,location/sibbergrubbe,1.6,4.1,148,86,amstel-gold-race
Epenerbaan / Vijlenerbos,location/vijlenerbos,1.5,5.5,287,125,amstel-gold-race
Keerderberg,location/keerderberg,1.5,3.9,125,70,amstel-gold-race
Loorberg,location/loorberg,1.2,5.7,212,164,amstel-gold-race
Loorberg,location/loorberg,1.2,5.6,212,52,amstel-gold-race
Keutenberg,location/keutenberg,1.1,6.8,153,28,amstel-gold-race
Gulperberg,location/gulperberg,1.0,5.2,150,45,amstel-gold-race
St. Remigiusstraat / Huls,location/sint-remigiusstraat,1.0,6.7,207,99,amstel-gold-race
Geulhemmerberg,location/geulhemmerberg,1.0,5.8,119,78,amstel-gold-race
Geulhemmerberg,location/geulhemmerberg,1.0,5.9,119,15,amstel-gold-race
Eyserbosweg,location/eyserbosweg,0.9,9.3,191,38,amstel-gold-race
Gemmenich,location/gemmenich,0.8,6.0,271,131,amstel-gold-race
Nijswillerweg,location/nijswillerweg,0.8,3.4,171,197,amstel-gold-race
Bergseweg,location/bergseweg,0.8,5.8,154,205,amstel-gold-race
Fromberg,location/fromberg,0.7,4.5,157,34,amstel-gold-race
Bemelerberg,location/bemelerberg,0.7,5.9,119,5,amstel-gold-race
Bemelerberg,location/bemelerberg,0.7,5.7,119,65,amstel-gold-race
Cauberg,location/cauberg,0.6,8.3,133,82,amstel-gold-race
Plettenberg,location/plettenberg,0.6,4.5,137,106,amstel-gold-race
Kruisberg,location/kruisberg,0.6,8.5,163,40,amstel-gold-race
Gulperberg (Bergweg),location/gulperberg,0.6,8.7,150,110,amstel-gold-race
Cauberg,location/cauberg,0.6,8.3,133,20,amstel-gold-race
Adsteeg,location/adsteeg,0.6,4.6,107,222,amstel-gold-race
Korenweg,location/korenweg,0.5,5.3,180,202,amstel-gold-race
Vrakelberg,location/vrakelberg,0.4,9.5,175,94,amstel-gold-race
Wolfsberg,location/wolfsberg-limburg,0.3,7.7,178,167,amstel-gold-race
Maasberg,location/maasberg,0.3,5.5,63,241,amstel-gold-race
Côte d'Yvoir,location/cote-d-yvoir,2.2,5.6,215,156,la-fleche-wallone
Côte d'Ereffe,location/cote-d-ereffe,2.2,5.4,259,108,la-fleche-wallone
Côte d'Ereffe,location/cote-d-ereffe,2.2,5.4,259,76,la-fleche-wallone
Côte d'Ereffe,location/cote-d-ereffe,2.2,5.4,259,44,la-fleche-wallone
Côte d'Ereffe,location/cote-d-ereffe,2.2,5.4,259,13,la-fleche-wallone
Mur de Huy,location/mur-de-huy,1.3,9.5,202,95,la-fleche-wallone
Mur de Huy,location/mur-de-huy,1.3,9.5,202,63,la-fleche-wallone
Mur de Huy,location/mur-de-huy,1.3,9.5,202,32,la-fleche-wallone
Mur de Huy,location/mur-de-huy,1.3,9.5,202,0,la-fleche-wallone
Col du Rosier,location/col-du-rosier,4.5,5.7,563,60,liège-bastogne-liège
Côte de la Haute-Levée,location/cote-de-la-haute-levee,3.0,6.4,465,74,liège-bastogne-liège
Côte de Wanne,location/cote-de-wanne,2.9,4.6,491,85,liège-bastogne-liège
Côte de Bonnerue,location/cote-de-bonnerue,2.4,5.7,442,178,liège-bastogne-liège
Côte de Mont-le-Soie,location/cote-de-mont-le-soie,1.8,6.6,565,93,liège-bastogne-liège
Côte de Desnié,location/cote-de-desnie,1.6,7.5,376,47,liège-bastogne-liège
Côte de La Redoute,location/la-redoute,1.6,8.8,275,34,liège-bastogne-liège
Côte des Forges,location/cote-des-forges,1.3,7.4,275,23,liège-bastogne-liège
Côte de la Roche-aux-Faucons,location/cote-de-la-roche-aux-faucons,1.3,10.1,213,13,liège-bastogne-liège
Côte de Stockeu (stèle Eddy Merckx),location/stockeu,1.0,12.7,415,78,liège-bastogne-liège
Côte de Saint-Roch,location/cote-de-saint-roch,0.9,10.6,448,137,liège-bastogne-liège
Leysin,location/leysin,13.8,6.0,1259,1,tour-de-romandie
Les Mosses,location/col-des-mosses,12.8,4.2,1429,56,tour-de-romandie
Les Rives,location/les-rives,9.6,5.4,950,52,tour-de-romandie
Ovronnaz,location/ovronnaz,9.1,9.5,1359,107,tour-de-romandie
Les Marécottes,location/les-marecottes,7.6,7.5,1041,0,tour-de-romandie
Sorens,location/sorens,4.2,7.5,1026,116,tour-de-romandie
Les Giettes,location/les-giettes,4.1,8.3,1142,45,tour-de-romandie
La Rasse,location/cote-de-la-rasse,2.1,8.5,628,73,tour-de-romandie
Arconciel,location/arconciel,1.8,7.3,729,90,tour-de-romandie
Arconciel,location/arconciel,1.8,7.3,729,9,tour-de-romandie
Arconciel,location/arconciel,1.8,7.3,729,50,tour-de-romandie
Dardagny,location/dardagny,1.5,4.1,426,134,tour-de-romandie
Dardagny,location/dardagny,1.5,4.1,426,99,tour-de-romandie
Dardagny,location/dardagny,1.5,4.1,426,64,tour-de-romandie
Dardagny,location/dardagny,1.5,4.1,426,30,tour-de-romandie
Lorette,location/chemin-de-lorette,0.7,12.8,637,36,tour-de-romandie
Lorette,location/chemin-de-lorette,0.7,12.8,637,77,tour-de-romandie
Feldberg,location/feldberg,11.1,4.8,844,155,eschborn-frankfurt
Feldberg,location/feldberg,8.0,5.9,844,84,eschborn-frankfurt
Mammolshain,location/mammolshainer-berg,2.4,7.8,365,95,eschborn-frankfurt
